category,viewers,buyers,conversion_pct,cart_abandon_pct
electronics,1346589,72883,5.41,54.37
appliances,477915,15786,3.3,56.38
medicine,2168,68,3.14,56.13
unknown,1197483,35801,2.99,51.62
computers,217285,5389,2.48,54.23
stationery,1388,34,2.45,47.69
construction,77251,1515,1.96,60.95
auto,104056,2002,1.92,50.05
kids,65338,1134,1.74,44.63
furniture,150796,1808,1.2,51.06
accessories,32935,372,1.13,48.04
sport,23083,254,1.1,56.95
apparel,209702,2039,0.97,55.52
country_yard,1976,10,0.51,72.22
